Year,TWDB Survey No,PWS Name,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections 
2022,863508,COMMODORE CAPE WATER SYSTEM,N, 321 ," 5,919,000 ", 107 ,,,,,,,,,,," 5,919,000 ", 107 ," 20,000 ",
2023,863508,COMMODORE CAPE WATER SYSTEM,N, 318 ," 5,209,000 ", 106 ,,,,,,,,,,," 5,209,000 ", 106 ," 15,000 ",
2022,864505,THOMPSON HEIGHTS WATER SYSTEM,N, 300 ," 11,781,508 ", 134 ,,,,,,,,,,," 11,781,508 ", 134 ," 75,000 ", 8 
2023,864505,THOMPSON HEIGHTS WATER SYSTEM,N, 300 ," 10,592,229 ", 134 ,,,,,,,,,,," 10,592,229 ", 134 ," 3,133,371 ",
2022,864525,LAKEWOOD TANGLEWOOD,N, 360 ," 9,050,300 ", 144 ,,,,,,,,,,," 9,050,300 ", 144 ,,
2023,864525,LAKEWOOD TANGLEWOOD,N, 360 ," 8,237,500 ", 144 ,,,,,,,,,,," 8,237,500 ", 144 ,,
2022,864526,WILDWOOD WATER SYSTEM,N, 557 ," 12,119,400 ", 223 ,,,,,,,,,,," 12,119,400 ", 223 ,,
2023,864526,WILDWOOD WATER SYSTEM,N, 570 ," 11,458,200 ", 228 ,,,,,,,,,,," 11,458,200 ", 228 ,,
2022,864527,KEECHI ADDITION,N, 127 ," 2,952,300 ", 51 ,,,,,,,,,,," 2,952,300 ", 51 ,,
2023,864527,KEECHI ADDITION,N, 127 ," 2,941,300 ", 51 ,,,,,,,,,,," 2,941,300 ", 51 ,,
2022,865000,CITY OF THORNDALE,N," 1,400 "," 29,546,000 ", 538 ," 764,000 ", 23 ," 1,796,000 ", 39 ,,," 9,825,000 ", 50 ,,," 41,931,000 ", 650 ,,
2023,865000,CITY OF THORNDALE,N," 1,400 "," 31,891,000 ", 570 ," 784,000 ", 23 ," 1,581,000 ", 39 ,,," 11,006,000 ", 50 ,,," 45,262,000 ", 682 ,,
2022,865300,CITY OF THORNTON WATER SYSTEM,Y, 526 ," 206,064 ", 240 ,,,,,,,,,,," 206,064 ", 240 , 100 , 34 
2023,865300,CITY OF THORNTON WATER SYSTEM,N, 475 ," 255,717 ", 228 ,,," 9,600 ", 6 ,,,,,,," 265,317 ", 234 ,, 32 
2022,866000,CITY OF THRALL,N, 950 ," 19,721,690 ", 347 ," 441,120 ", 15 ," 3,158,540 ", 30 ,,," 960,690 ", 12 ,,," 24,282,040 ", 404 ," 907,420 ", 34 
2023,866000,CITY OF THRALL,N, 950 ," 19,432,580 ", 347 ," 388,710 ", 13 ," 4,146,620 ", 34 ,,," 2,563,480 ", 13 ,,," 26,531,390 ", 407 ," 642,000 ", 24 
2022,866051,THE COVES WSC,N, 648 ," 9,874,000 ", 199 ," 763,000 ", 1 ,,,,,,," 443,000 ", 4 ," 11,080,000 ", 204 ,,
2023,866051,THE COVES WSC,N, 210 ," 10,854,000 ", 214 ,,,,,,,,," 586,000 ", 5 ," 11,440,000 ", 219 ,,
2022,866053,ESTATES UTILITY CO STONEGATE,Y, 235 ," 14,295,000 ", 90 ,,," 2,851,000 ", 4 ,,,,,,," 17,146,000 ", 94 ,,
2023,866053,ESTATES UTILITY CO STONEGATE,Y, 235 ," 14,295,000 ", 90 ,,," 2,851,000 ", 4 ,,,,,,," 17,146,000 ", 94 ,,
2022,866100,THREE COMMUNITY WSC,Y, 850 ," 18,831,100 ", 340 ,,,,,,,,,,," 18,831,100 ", 340 ," 3,772,720 ",
2023,866100,THREE COMMUNITY WSC,Y, 850 ," 18,831,100 ", 340 ,,,,,,,,,,," 18,831,100 ", 340 ," 3,772,720 ",
2022,866125,HARRIS COUNTY MUD 368,N," 11,835 "," 303,463,000 "," 3,952 ",,," 19,871,000 ", 40 ,,," 3,589,000 ", 2 ," 27,694,000 ", 55 ," 354,617,000 "," 4,049 "," 3,438,000 ",
2023,866125,HARRIS COUNTY MUD 368,N," 11,847 "," 301,447,000 "," 3,949 ",,," 21,230,000 ", 39 ,,," 1,436,000 ", 2 ," 29,923,000 ", 55 ," 354,036,000 "," 4,045 ",,
2022,866150,THREE OAKS WSC,N," 1,188 "," 92,559,750 ", 476 ,,," 1,234,130 ", 6 ,,,,," 29,619,120 ", 150 ," 123,413,000 ", 632 ,,
2023,866150,THREE OAKS WSC,N," 1,210 "," 88,765,600 ", 493 ,,," 1,152,800 ", 7 ,,,,," 25,361,600 ", 144 ," 115,280,000 ", 644 ,,
2022,866250,CITY OF THREE RIVERS,N," 4,413 "," 87,199,440 "," 1,138 "," 4,162,400 ", 10 ," 148,819,866 ", 208 ," 134,891,575 ", 1 ," 75,154,163 ", 2 ,,," 464,119,019 "," 1,360 "," 70,877 ", 30 
2023,866250,CITY OF THREE RIVERS,N," 4,411 "," 81,625,172 "," 1,146 "," 5,250,600 ", 10 ," 64,388,432 ", 193 ," 128,530,000 ", 1 ," 85,837,000 ", 1 ,,," 377,200,435 "," 1,352 "," 101,255 ", 30 
2022,866270,CITY OF THROCKMORTON,N, 804 ," 18,890,000 ", 385 ," 6,810,000 ", 8 ," 7,491,000 ", 87 ,,," 5,648,000 ", 12 ," 1,045,200 ", 10 ," 39,884,200 ", 502 ," 1,314,800 ", 28 
2023,866270,CITY OF THROCKMORTON,N, 720 ," 28,520,000 ", 380 ," 7,632,000 ", 8 ," 5,800,000 ", 87 ,,," 4,157,000 ", 15 ," 1,100,000 ", 12 ," 47,209,000 ", 502 ," 650,000 ", 28 
2022,866275,THUNDERBIRD UTILITY DISTRICT SYSTEM 2,N," 1,812 "," 43,349,000 ", 587 ,,," 1,593,000 ", 16 ,,,,,,," 44,942,000 ", 603 ,,
2023,866275,THUNDERBIRD UTILITY DISTRICT SYSTEM 2,N," 1,806 "," 43,563,000 ", 586 ,,," 1,337,000 ", 16 ,,,,,,," 44,900,000 ", 602 ,,
2022,866280,THUNDERBIRD UTILITY DISTRICT 1,N," 4,143 "," 126,685,000 "," 1,269 ",,," 52,589,000 ", 112 ,,,,,,," 179,274,000 "," 1,381 ",,
2023,866280,THUNDERBIRD UTILITY DISTRICT 1,N," 4,146 "," 135,527,000 "," 1,271 ",,," 57,271,000 ", 111 ,,,,,,," 192,798,000 "," 1,382 ",,
2022,866305,COTTONWOOD HILLS ESTATES,Y, 201 ,,,,,,,,,,,,,,,,
2023,866305,COTTONWOOD HILLS ESTATES,Y, 201 ,,,,,,,,,,,,,,,,
2022,866310,LAZY BEND ESTATES,Y, 129 ,,,,,,,,,,,,,,,,
2023,866310,LAZY BEND ESTATES,Y, 129 ,,,,,,,,,,,,,,,,
2022,866555,TIERRA DEL LAGO,N, 81 ," 2,055,600 ", 22 ,,,,,,,,,,," 2,055,600 ", 22 ,,
2023,866555,TIERRA DEL LAGO,N, 81 ," 2,067,200 ", 22 ,,,,,,,,,,," 2,067,200 ", 22 ,,
2022,866560,TIFFANY WATER,N, 128 ," 1,538,598 ", 64 ,,," 1,406,020 ", 4 ,,,,,,," 2,944,618 ", 68 ,,
2023,866560,TIFFANY WATER,N, 128 ," 1,461,005 ", 64 ,,," 1,241,377 ", 4 ,,,,,,," 2,702,382 ", 68 ,,
2022,866600,MCMULLEN COUNTY WCID 1,Y, 564 ,,,,,,,,,,,,,,,,
2023,866600,MCMULLEN COUNTY WCID 1,N, 618 ," 16,241,797 ", 171 ," 200,000 ", 2 ," 500,000 ", 34 ," 200,000 ", 8 ," 500,000 ", 15 ," 200,000 ", 6 ," 17,841,797 ", 236 ," 200,000 ", 1 
2022,866753,TIMBERCREEK VALLEY,Y, 144 ,,,,,,,,,,,,,,,,
2023,866753,TIMBERCREEK VALLEY,Y, 144 ,,,,,,,,,,,,,,,,
2022,867115,TIMBERLANE ESTATES PROPERTY OWNERS ASSOC,Y, 85 ," 570,445 ", 35 ,,,,,,,,,,," 570,445 ", 35 ," 44,511 ", 2 
2023,867115,TIMBERLANE ESTATES PROPERTY OWNERS ASSOC,N, 85 ," 564,630 ", 35 ,,,,,,,,,,," 564,630 ", 35 ,,
2022,867125,TIMBERLANE WATER SYSTEM,N, 144 ," 576,000 ", 48 ,,,,,,,,,,," 576,000 ", 48 ,,
2023,867125,TIMBERLANE WATER SYSTEM,Y, 144 ," 576,000 ", 48 ,,,,,,,,,,," 576,000 ", 48 ,,
2022,867200,TIMBER LANE UTILITY DISTRICT,N," 21,810 "," 489,738,000 "," 7,442 "," 40,078,000 ", 554 ," 25,515,000 ", 156 ,,," 2,077,000 ", 4 ," 19,687,000 ", 9 ," 577,095,000 "," 8,165 "," 9,000,000 ",
2023,867200,TIMBER LANE UTILITY DISTRICT,N," 29,358 "," 545,498,000 "," 9,232 "," 29,951,000 ", 554 ," 21,568,000 ", 112 ,,," 2,628,000 ", 5 ," 24,582,000 ", 77 ," 624,227,000 "," 9,980 "," 29,140,000 ",
2022,867277,TIMER WATER SYSTEM,Y, 43 ,, 18 ,,,,,,,,,,,, 18 ," 53,702 ", 2 
2023,867277,TIMER WATER SYSTEM,N, 48 ," 805,000 ", 16 ,,,,,,,,,,," 805,000 ", 16 ,,
2022,867600,CITY OF TIMPSON,N," 1,100 "," 27,553,000 ", 509 ,,," 12,757,000 ", 103 ,,,,,,," 40,310,000 ", 612 ," 16,500,000 ", 2 
2023,867600,CITY OF TIMPSON,N," 1,100 "," 28,361,000 ", 509 ,,," 13,188,000 ", 103 ,,,,,,," 41,549,000 ", 612 ," 19,580,000 ", 2 
2022,868400,CITY OF TIOGA,N," 1,600 "," 33,287,073 ", 563 ," 487,500 ", 15 ," 7,642,910 ", 40 ,,," 1,342,560 ", 19 ,,," 42,760,043 ", 637 ," 900,000 ", 4 
2023,868400,CITY OF TIOGA,N," 1,665 "," 36,231,772 ", 593 ," 605,500 ", 15 ," 4,300,419 ", 39 ,,," 1,405,050 ", 18 ,,," 42,542,741 ", 665 ," 900,000 ", 4 
2022,869200,REFUGIO COUNTY WCID 1,N, 527 ," 8,239,816 ", 173 ,,," 972,430 ", 12 ,,,,,,," 9,212,246 ", 185 ," 150,000 ", 1 
2023,869200,REFUGIO COUNTY WCID 1,N, 628 ," 8,153,915 ", 174 ,,," 956,420 ", 11 ,,,,,,," 9,110,335 ", 185 ," 300,000 ", 3 
2022,870000,CITY OF TOLAR,N," 1,000 "," 23,025,300 ", 333 ," 607,900 ", 20 ," 1,267,900 ", 22 ,,," 1,811,500 ", 19 ,,," 26,712,600 ", 394 ,,
2023,870000,CITY OF TOLAR,N," 1,185 "," 29,814,200 ", 435 ," 913,500 ", 24 ," 1,109,700 ", 22 ,,," 1,471,000 ", 20 ," 15,800 ", 2 ," 33,324,200 ", 503 ,,
2022,870200,TOLEDO VILLAGE WSC,Y," 1,671 "," 20,270,060 ", 597 ,,," 123,600 ", 4 ,,,,,,," 20,393,660 ", 601 ,,
2023,870200,TOLEDO VILLAGE WSC,Y," 1,671 "," 20,270,060 ", 597 ,,," 123,600 ", 4 ,,,,,,," 20,393,660 ", 601 ,,
2022,870400,CITY OF TOMBALL,N," 15,000 "," 417,599,000 "," 4,116 "," 75,675,000 ", 104 ," 378,457,000 "," 1,217 "," 1,090,000 ", 1 ," 8,772,000 ", 72 ,,," 881,593,000 "," 5,510 ",,
2023,870400,CITY OF TOMBALL,N," 16,000 "," 424,337,000 "," 4,365 "," 65,946,000 ", 105 ," 343,499,000 "," 1,255 "," 23,000 ", 1 ," 6,512,000 ", 71 ,,," 840,317,000 "," 5,797 "," 43,982,440 ",
2022,870800,CITY OF TOM BEAN,N," 1,178 "," 24,134,846 ", 429 ," 487,400 ", 38 ," 930,900 ", 14 ,,," 2,667,820 ", 12 ,,," 28,220,966 ", 493 ," 1,250,000 ", 21 
2023,870800,CITY OF TOM BEAN,N," 1,197 "," 23,752,013 ", 439 ," 751,646 ", 38 ," 2,524,938 ", 17 ,,," 3,577,834 ", 14 ,,," 30,606,431 ", 508 ," 7,500,000 ", 46 
2022,871000,TOM GREEN COUNTY FWSD 2 CHRISTOVAL,N, 476 ," 20,486,000 ", 267 ,,," 1,904,000 ", 13 ,,," 1,212,000 ", 2 ,,," 23,602,000 ", 282 ,,
2023,871000,TOM GREEN COUNTY FWSD 2 CHRISTOVAL,N, 476 ," 20,692,000 ", 249 ,,," 1,817,000 ", 14 ,,," 1,391,000 ", 1 ,,," 23,900,000 ", 264 ,,
2022,871002,TOM GREEN COUNTY FWSD 3,Y," 1,017 "," 31,093,300 ", 337 ,,," 50,000 ", 2 ,,,,,,," 31,143,300 ", 339 ," 644,600 ", 6 
2023,871002,TOM GREEN COUNTY FWSD 3,Y," 1,017 "," 31,093,300 ", 337 ,,," 50,000 ", 2 ,,,,,,," 31,143,300 ", 339 ," 644,600 ", 6 
2022,871165,TAL TEX,Y, 921 ," 38,424,000 ", 307 ,,,,,,,,,,," 38,424,000 ", 307 ," 37,000 ",
2023,871165,TAL TEX,Y, 921 ," 38,424,000 ", 307 ,,,,,,,,,,," 38,424,000 ", 307 ," 37,000 ",
2022,871170,TOPSEY WSC,N, 994 ," 31,000,000 ", 324 ,,,,,,,,," 200,000 ", 10 ," 31,200,000 ", 334 ,,
2023,871170,TOPSEY WSC,N, 969 ," 26,398,463 ", 323 ,,,,,,,,," 239,743 ", 9 ," 26,638,206 ", 332 ,,
2022,871200,EL PASO COUNTY TORNILLO WID,N," 3,600 "," 61,214,960 ", 888 ," 9,341,627 ", 85 ," 4,464,070 ", 27 ,,," 18,478,290 ", 22 ," 12,473,140 ", 25 ," 105,972,087 "," 1,047 "," 105,972,087 "," 1,047 "
2023,871200,EL PASO COUNTY TORNILLO WID,N," 3,600 "," 66,469,710 ", 851 ," 10,653,680 ", 87 ," 5,237,930 ", 27 ,,," 18,509,370 ", 22 ," 13,311,750 ", 25 ," 114,182,440 "," 1,012 ",,
2022,871226,LEANING TOWERING OAKS SUBDIVISION,Y, 127 ,,,,,,,,,,,,,,,,
2023,871226,LEANING TOWERING OAKS SUBDIVISION,Y, 127 ,,,,,,,,,,,,,,,,
2022,871228,TOWER OAK BEND WSC,N, 393 ," 10,334,000 ", 128 ,,," 285,000 ", 3 ,,,,,,," 10,619,000 ", 131 ," 2,180,000 ",
2023,871228,TOWER OAK BEND WSC,N, 396 ," 10,194,000 ", 129 ,,," 273,000 ", 2 ,,," 118,000 ", 1 ,,," 10,585,000 ", 132 ," 910,000 ",
2022,871229,TOWN BLUFF WATER SYSTEM,N, 105 ," 8,752,000 ", 35 ,,,,,,,,,,," 8,752,000 ", 35 ," 30,000 ",
2023,871229,TOWN BLUFF WATER SYSTEM,N, 105 ," 625,000 ", 35 ,,,,,,,,,,," 625,000 ", 35 ," 5,000 ",
2022,871240,TOWN NORTH ESTATES,Y, 204 ," 5,294,000 ", 68 ,,,,,,,,,,," 5,294,000 ", 68 ,,
2023,871240,TOWN NORTH ESTATES,Y, 204 ," 5,294,000 ", 68 ,,,,,,,,,,," 5,294,000 ", 68 ,,
2022,871250,TOW WATER SYSTEM,N, 93 ," 603,480 ", 31 ,,,,,,,,,,," 603,480 ", 31 ," 170,700 ", 40 
2023,871250,TOW WATER SYSTEM,N, 93 ," 901,745 ", 31 ,,,,,,,,,,," 901,745 ", 31 , 900 , 2 
2022,871344,DOGWOOD SPRINGS WSC PLANT 1,Y, 594 ," 7,099,580 ", 214 ,,," 663,000 ", 5 ,,,,,,," 7,762,580 ", 219 ," 500,000 ", 10 
2023,871344,DOGWOOD SPRINGS WSC PLANT 1,Y, 594 ," 7,099,580 ", 214 ,,," 663,000 ", 5 ,,,,,,," 7,762,580 ", 219 ," 500,000 ", 10 
2022,871435,TRAIL OF THE LAKES MUD,N," 9,363 "," 225,372,400 "," 2,810 "," 9,847,100 ", 282 ," 8,093,600 ", 19 ,,," 3,473,200 ", 10 ," 10,404,700 ", 30 ," 257,191,000 "," 3,151 "," 7,623,000 ",
2023,871435,TRAIL OF THE LAKES MUD,N," 9,486 "," 241,692,700 "," 2,851 "," 9,716,500 ", 282 ," 8,616,500 ", 19 ,,," 8,548,000 ", 10 ," 15,854,400 ", 38 ," 284,428,100 "," 3,200 "," 5,128,000 ",
2022,871600,CITY OF TRENT,N, 244 ,, 240 ,,,, 1 ,, 1 ,, 1 ,, 1 ," 15,000,000 ", 244 ," 1,000,000 ", 12 
2023,871600,CITY OF TRENT,N, 269 ," 16,451,500 ", 245 ,,," 2,897,500 ", 3 ,,,,,,," 19,349,000 ", 248 ," 2,708,860 ", 10 
2022,871707,TRAVIS COUNTY MUD 10,N, 375 ," 28,450,000 ", 121 ," 1,544,000 ", 72 ," 151,000 ", 1 ," 5,000 ", 1 ,,," 4,063,000 ", 6 ," 34,213,000 ", 201 ,,
2023,871707,TRAVIS COUNTY MUD 10,N, 388 ," 21,976,000 ", 127 ," 1,472,000 ", 71 ," 62,000 ", 1 ," 3,000 ", 1 ,,," 2,955,000 ", 8 ," 26,468,000 ", 208 ,,
2022,871710,TRAVIS COUNTY MUD 14,N," 2,688 "," 69,005,000 ", 983 ,,," 2,326,000 ", 1 ,,,,," 760,000 ", 1 ," 72,091,000 ", 985 ,,
2023,871710,TRAVIS COUNTY MUD 14,N," 3,123 "," 92,683,000 "," 1,077 ",,," 373,000 ", 1 ,,,,," 5,150,000 ", 14 ," 98,206,000 "," 1,092 ",,
2022,871716,TRAVIS COUNTY MUD 4,N," 3,646 "," 370,187,000 ", 841 ," 28,787,000 ", 6 ," 322,704,000 ", 85 ,,," 4,377,000 ", 3 ,,," 726,055,000 ", 935 ,,
2023,871716,TRAVIS COUNTY MUD 4,N," 3,412 "," 366,354,000 ", 845 ," 33,817,000 ", 6 ," 50,419,000 ", 28 ,,," 306,140,000 ", 71 ,,," 756,730,000 ", 950 ,,
2022,871726,TRAVIS COUNTY WCID 17,N," 46,260 "," 2,070,477,654 "," 11,835 "," 175,308,274 ", 310 ," 339,317,477 ", 615 ,,," 56,824,445 ", 65 ,,," 2,729,037,690 "," 12,832 "," 1,318,000 ", 58 
2023,871726,TRAVIS COUNTY WCID 17,N," 49,854 "," 1,836,649,707 "," 10,172 "," 129,754,803 ", 289 ," 332,641,962 ", 624 ,,," 264,280,995 ", 78 ,,," 2,646,914,847 "," 11,170 "," 1,387,000 ", 59 
2022,871727,TRAVIS COUNTY WCID 18,N," 5,658 "," 268,735,000 "," 1,899 ",,," 2,438,000 ", 13 ,,," 679,000 ", 6 ,,," 271,852,000 "," 1,918 ",,
2023,871727,TRAVIS COUNTY WCID 18,N," 5,649 "," 252,313,000 "," 1,896 ",,," 2,800,000 ", 12 ,,," 9,865,000 ", 10 ,,," 264,978,000 "," 1,918 ",,
2022,871728,CITY OF LAGO VISTA,N," 16,116 "," 554,479,000 "," 5,328 ",,,,,,,,,,," 554,479,000 "," 5,328 "," 3,200,000 ", 7 
2023,871728,CITY OF LAGO VISTA,N," 16,500 "," 454,546,700 "," 5,632 ",,," 30,090,800 ", 185 ,,,,,,," 484,637,500 "," 5,817 "," 3,400,000 ", 7 
2022,871730,TRAVIS COUNTY WCID POINT VENTURE,N," 2,910 "," 58,488,000 ", 920 ,,," 5,044,000 ", 24 ,,,,," 3,367,000 ", 28 ," 66,899,000 ", 972 ," 198,009 ", 1 
2023,871730,TRAVIS COUNTY WCID POINT VENTURE,N," 2,943 "," 57,666,000 ", 929 ,,," 4,203,000 ", 24 ,,,,," 4,990,000 ", 28 ," 66,859,000 ", 981 ," 946,000 ",
2022,871740,TRAVIS COUNTY WCID 20,N," 1,029 "," 138,169,000 ", 352 ,,," 3,442,000 ", 13 ,,," 3,695,000 ", 14 ,,," 145,306,000 ", 379 ,,
2023,871740,TRAVIS COUNTY WCID 20,N," 1,035 "," 144,286,000 ", 352 ,,," 8,218,000 ", 13 ,,," 1,393,000 ", 11 ,,," 153,897,000 ", 376 ,,
2022,871800,TREASURE ISLAND MUD,N, 915 ," 6,547,244 ", 305 ,,," 8,328,980 ", 1 ,,,,,,," 14,876,224 ", 306 ," 89,760 ", 1 
2023,871800,TREASURE ISLAND MUD,N, 930 ," 19,422,000 ", 309 ,,," 1,300,000 ", 1 ,,,,,,," 20,722,000 ", 310 ," 18,000,000 ",
2022,872400,CITY OF TRENTON,N, 848 ," 21,183,935 ", 394 ,,," 4,011,889 ", 24 ,,,,,,," 25,195,824 ", 418 ,,
2023,872400,CITY OF TRENTON,N, 768 ," 23,616,528 ", 357 ,,," 5,815,522 ", 56 ,,,,,,," 29,432,050 ", 413 ,,
2022,872650,TRES VIDAS SUBDIVISION,N, 138 ," 4,752,400 ", 58 ,,,,,,,,,,," 4,752,400 ", 58 , 60 , 3 
2023,872650,TRES VIDAS SUBDIVISION,N, 147 ," 3,996,200 ", 62 ,,,,,,,,,,," 3,996,200 ", 62 , 120 , 3 
2022,872795,TRI SUD,N," 18,235 "," 341,210,010 "," 6,138 "," 12,026,840 ", 54 ," 4,448,130 ", 41 ," 20,832,880 ", 33 ," 9,115,730 ", 84 ," 7,389,820 ", 34 ," 395,023,410 "," 6,384 "," 6,000,912 ", 75 
2023,872795,TRI SUD,N," 18,213 "," 337,290,596 "," 6,181 "," 12,463,150 ", 48 ," 4,787,900 ", 65 ," 27,105,500 ", 39 ," 9,829,490 ", 85 ," 5,711,050 ", 43 ," 397,187,686 "," 6,461 ",,
2022,872900,TRI COMMUNITY WSC,N," 1,550 "," 18,125,500 ", 598 ,,," 14,350,000 ", 20 ,,," 3,400,000 ", 7 ,,," 35,875,500 ", 625 ," 17,601,500 ", 35 
2023,872900,TRI COMMUNITY WSC,N," 1,550 "," 49,148,554 ", 572 ,,," 4,320,752 ", 35 ,,," 540,094 ", 11 ,,," 54,009,400 ", 618 ," 9,232,560 ", 35 
2022,873001,TRI COUNTY SUD,N," 4,910 "," 145,453,540 "," 2,135 ",,,,," 477,780 ",,,,,," 145,931,320 "," 2,135 "," 15,099,100 ",
2023,873001,TRI COUNTY SUD,N," 4,910 "," 139,470,020 "," 2,202 ",,,,," 923,960 ", 1 ,,,,," 140,393,980 "," 2,203 "," 14,435,000 ",
2022,873002,ALICE ACRES MOBILE HOME SUBDIVISION,N, 330 ," 5,311,000 ", 88 ,,," 1,355,000 ", 22 ,,,,,,," 6,666,000 ", 110 ,,
2023,873002,ALICE ACRES MOBILE HOME SUBDIVISION,N, 327 ," 5,741,000 ", 87 ,,," 1,791,000 ", 22 ,,,,,,," 7,532,000 ", 109 ,,
2022,873003,BRANDYWINE PINES,N, 300 ," 6,243,000 ", 96 ,,," 595,000 ", 4 ,,,,,,," 6,838,000 ", 100 ,,
2023,873003,BRANDYWINE PINES,N, 297 ," 6,330,000 ", 95 ,,," 750,000 ", 4 ,,,,,,," 7,080,000 ", 99 ,,
2022,873004,CYPRESS CROSSING,N, 141 ," 2,076,000 ", 45 ,,," 231,000 ", 2 ,,,,,,," 2,307,000 ", 47 ,,
2023,873004,CYPRESS CROSSING,N, 141 ," 2,321,000 ", 45 ,,," 257,000 ", 2 ,,,,,,," 2,578,000 ", 47 ,,
2022,873008,HUNTERS RETREAT,N," 1,416 "," 37,005,000 ", 452 ,,," 3,228,000 ", 20 ,,,,,,," 40,233,000 ", 472 ,,
2023,873008,HUNTERS RETREAT,N," 1,437 "," 37,305,000 ", 459 ,,," 3,411,000 ", 20 ,,,,,,," 40,716,000 ", 479 ,,
2022,873009,KIPLING OAKS 1,N," 1,332 "," 25,761,000 ", 415 ,,," 911,000 ", 29 ,,,,,,," 26,672,000 ", 444 ,,
2023,873009,KIPLING OAKS 1,N," 1,332 "," 26,016,000 ", 415 ,,," 909,000 ", 29 ,,,,,,," 26,925,000 ", 444 ," 100,000 ",
2022,873010,DEER RIDGE SUBDIVISION,N, 165 ," 3,534,000 ", 55 ,,,,,,,,,,," 3,534,000 ", 55 ,,
2023,873010,DEER RIDGE SUBDIVISION,N, 177 ," 3,438,000 ", 59 ,,,,,,,,,,," 3,438,000 ", 59 ,,
2022,873012,MINK BRANCH VALLEY,N, 104 ," 3,408,000 ", 51 ,,," 74,000 ", 1 ,,,,,,," 3,482,000 ", 52 ,,
2023,873012,MINK BRANCH VALLEY,N, 159 ," 3,956,000 ", 52 ,,," 51,000 ", 1 ,,,,,,," 4,007,000 ", 53 ,,
2022,873014,PLEASANT FOREST SUBDIVISION,N, 561 ," 25,075,000 ", 187 ,,,,,,,,,,," 25,075,000 ", 187 ,,
2023,873014,PLEASANT FOREST SUBDIVISION,N, 558 ," 23,902,000 ", 186 ,,,,,,,,,,," 23,902,000 ", 186 ,,
2022,873015,RIMWICK FOREST,N, 168 ," 4,169,000 ", 56 ,,,,,,,,,,," 4,169,000 ", 56 ,,
2023,873015,RIMWICK FOREST,N, 168 ," 4,205,000 ", 56 ,,,,,,,,,,," 4,205,000 ", 56 ,,
2022,873016,SHADY ACRES,N, 63 ," 1,128,000 ", 20 ,,," 233,000 ", 1 ,,,,,,," 1,361,000 ", 21 ," 481,300 ",
2023,873016,SHADY ACRES,N, 63 ," 1,175,000 ", 20 ,,," 290,000 ", 1 ,,,,,,," 1,465,000 ", 21 ,,
2022,873017,BRANDYWINE OAKS,N, 132 ," 2,475,000 ", 44 ,,,,,,,,,,," 2,475,000 ", 44 ,,
2023,873017,BRANDYWINE OAKS,N, 126 ," 2,790,000 ", 46 ,,,,,,,,,,," 2,790,000 ", 46 ,,
2022,873025,RUSTIC OAKS SUBDIVISION,N, 48 ," 1,442,000 ", 15 ,,," 171,000 ", 1 ,,,,,,," 1,613,000 ", 16 ,,
2023,873025,RUSTIC OAKS SUBDIVISION,N, 48 ," 1,686,000 ", 15 ,,," 141,000 ", 1 ,,,,,,," 1,827,000 ", 16 ,,
2022,873026,KICKAPOO FARMS SUBDIVISION,N, 156 ," 3,176,000 ", 51 ,,," 53,000 ", 1 ,,,,,,," 3,229,000 ", 52 ,,
2023,873026,KICKAPOO FARMS SUBDIVISION,N, 153 ," 3,441,000 ", 50 ,,," 30,000 ", 1 ,,,,,,," 3,471,000 ", 51 ,,
2022,873027,TRAILWOOD SUBDIVISION,N, 105 ," 4,188,000 ", 34 ,,," 52,000 ", 1 ,,,,,,," 4,240,000 ", 35 ,,
2023,873027,TRAILWOOD SUBDIVISION,N, 105 ," 3,117,853 ", 34 ,,," 39,147 ", 1 ,,,,,,," 3,157,000 ", 35 ," 550,000 ",
2022,873028,WILLOW OAKS MOBILE HOME SUBDIVISION,N, 381 ," 8,163,000 ", 124 ,,," 1,370,000 ", 3 ,,,,,,," 9,533,000 ", 127 ,,
2023,873028,WILLOW OAKS MOBILE HOME SUBDIVISION,N, 375 ," 8,005,000 ", 122 ,,," 2,415,000 ", 3 ,,,,,,," 10,420,000 ", 125 ,,
2022,873200,CITY OF TRINIDAD,N," 1,482 "," 19,399,700 ", 395 ," 2,925,400 ", 60 ," 1,561,300 ", 28 ," 8,000,000 ", 1 ," 954,300 ", 10 ,,," 32,840,700 ", 494 ," 15,795,000 ", 38 
2023,873200,CITY OF TRINIDAD,N," 1,482 "," 29,399,700 ", 395 ," 2,925,400 ", 60 ," 1,561,300 ", 28 ," 15,735,000 ", 1 ," 954,300 ", 10 ,,," 50,575,700 ", 494 ," 15,795,000 ", 38 
2022,874000,CITY OF TRINITY,N," 3,873 "," 9,452,541 "," 1,517 ",,," 103,868,879 ", 93 ,,,,,,," 113,321,420 "," 1,610 "," 101,109,076 ",
2023,874000,CITY OF TRINITY,N,,,,,,,,,,,,,,,,,
2022,874100,TBCD WEST TREATMENT PLANT,N," 6,582 "," 120,669,300 "," 2,194 ",,," 44,057,300 ", 211 ,,," 1,240,100 ", 2 ,,," 165,966,700 "," 2,407 "," 3,182,700 ", 57 
